,id,location,name,link,location_new,x,y
13032,3622,"40.72510147,-73.97619629",432 East 10th Street,/building/432-east-10-street-new_york,"['40.72510147', '-73.97619629']",40.72510147,-73.97619629
13033,17859,"40.76229858,-73.99250031",450 West 47th Street,/building/450-west-47-street-manhattan,"['40.76229858', '-73.99250031']",40.76229858,-73.99250031
13034,17861,"40.76240158,-73.99269867",454 West 47th Street,/building/454-west-47-street-manhattan,"['40.76240158', '-73.99269867']",40.76240158,-73.99269867
13035,3632,"40.72510147,-73.97689819",717 East 9th Street,/building/717-east-9-street-new_york,"['40.72510147', '-73.97689819']",40.72510147,-73.97689819
13036,17871,"40.76269913,-73.99240112",463 West 47th Street,/building/463-west-47-street-manhattan,"['40.76269913', '-73.99240112']",40.76269913,-73.99240112
13037,3650,"40.72169876,-73.98320007",211 East 2nd Street,/building/211-east-2-street-new_york,"['40.72169876', '-73.98320007']",40.72169876,-73.98320007
13038,17926,"40.76279831,-73.99060059",415 West 48th Street,/building/415-west-48-street-manhattan,"['40.76279831', '-73.99060059']",40.76279831,-73.99060059
13039,17933,"40.76250076,-73.99009705",703 Ninth Avenue,/building/703-9-avenue-new_york,"['40.76250076', '-73.99009705']",40.76250076,-73.99009705
13040,17939,"40.76290131,-73.98999786",406 West 49th Street,/building/406-west-49-street-manhattan,"['40.76290131', '-73.98999786']",40.76290131,-73.98999786
13041,3710,"40.72299957,-73.98239899",49 Avenue B,/building/49-avenue-b-manhattan,"['40.72299957', '-73.98239899']",40.72299957,-73.98239899
13042,17942,"40.76300049,-73.99030304",414 West 49th Street,/building/414-west-49-street-new_york,"['40.76300049', '-73.99030304']",40.76300049,-73.99030304
13043,3715,"40.72269821,-73.98179626",258 East 4th Street,/building/258-east-4-street-manhattan,"['40.72269821', '-73.98179626']",40.72269821,-73.98179626
13044,3726,"40.72249985,-73.98190308",223 East 3rd Street,/building/223-east-3-street-manhattan,"['40.72249985', '-73.98190308']",40.72249985,-73.98190308
13045,17956,"40.76350021,-73.99150085",446 West 49th Street,/building/446-west-49-street-new_york,"['40.76350021', '-73.99150085']",40.76350021,-73.99150085
13046,3521,"40.72309875,-73.97720337",274 East 7th Street,/building/274-east-7-street-manhattan,"['40.72309875', '-73.97720337']",40.72309875,-73.97720337
13047,17766,"40.76129913,-73.99389648",630 Tenth Avenue,/building/630-10-avenue-manhattan,"['40.76129913', '-73.99389648']",40.76129913,-73.99389648
13048,3530,"40.72330093,-73.97820282",719 East 6th Street,/building/719-east-6-street-manhattan,"['40.72330093', '-73.97820282']",40.72330093,-73.97820282
13049,31181,"40.79840088,-73.93939972",2139 Third Avenue,/building/2139-3-avenue-new_york,"['40.79840088', '-73.93939972']",40.79840088,-73.93939972
13050,17774,"40.76119995,-73.9937973",454 West 45th Street,/building/454-west-45-street-manhattan,"['40.76119995', '-73.9937973']",40.76119995,-73.9937973
13051,17783,"40.76119995,-73.99250031",433 West 45th Street,/building/433-west-45-street-manhattan,"['40.76119995', '-73.99250031']",40.76119995,-73.99250031
13052,17795,"40.76079941,-73.99130249",649 Ninth Avenue,/building/649-9-avenue-new_york,"['40.76079941', '-73.99130249']",40.76079941,-73.99130249
13053,17798,"40.76089859,-73.99120331",661 Ninth Avenue,/other_property/661-9-avenue-manhattan,"['40.76089859', '-73.99120331']",40.76089859,-73.99120331
13054,17800,"40.76100159,-73.99140167",404 West 46th Street,/building/404-west-46-street-manhattan,"['40.76100159', '-73.99140167']",40.76100159,-73.99140167
13055,31213,"40.79880142,-73.93849945",210 East 118th Street,/building/210-east-118-street-manhattan,"['40.79880142', '-73.93849945']",40.79880142,-73.93849945
13056,17806,"40.76119995,-73.99189758",416 West 46th Street,/building/416-west-46-street-manhattan,"['40.76119995', '-73.99189758']",40.76119995,-73.99189758
13057,17727,"40.75989914,-73.99349976",437 West 43rd Street,/building/437-west-43-street-manhattan,"['40.75989914', '-73.99349976']",40.75989914,-73.99349976
13058,3497,"40.72280121,-73.97910309",709 East 5th Street,/building/709-east-5-street-manhattan,"['40.72280121', '-73.97910309']",40.72280121,-73.97910309
