,id,Unit,Stories,Year,Type,trasp1,trasp2,trasp3,trasp4,trasp5,trasp_index,Price,sold_or_rent,Bedroom,Bathroom,Area
421,780728,9,6,1910,Condo,0.13,0.2,0.25,0.36,0.41,21.90910986,9500,Rent,3,2,2750
422,780728,9,6,1910,Condo,0.13,0.2,0.25,0.36,0.41,21.90910986,9500,Rent,3,2,2750
425,780855,8,6,1915,Condo,0.17,0.22,0.24,0.39,0.44,19.43130399,16000,Rent,1,2,3291
426,780855,8,6,1915,Condo,0.17,0.22,0.24,0.39,0.44,19.43130399,16000,Rent,1,2,3291
427,780859,8,7,1915,Co-op,0.095,0.15,0.23,0.28,0.39,27.67633968,12000,Rent,4,2,3200
428,780859,8,7,1915,Co-op,0.095,0.15,0.23,0.28,0.39,27.67633968,12000,Rent,4,2,3200
429,780866,12,7,1910,Co-op,0.095,0.15,0.22,0.29,0.41,27.62573725,13000,Rent,1,1,1800
430,780866,12,7,1910,Co-op,0.095,0.15,0.22,0.29,0.41,27.62573725,13000,Rent,1,1,1800
434,780949,5,7,1950,Condo,0.095,0.14,0.22,0.29,0.41,28.10192773,8750,Rent,2,2,1700
435,780949,5,7,1950,Condo,0.095,0.14,0.22,0.29,0.41,28.10192773,8750,Rent,2,2,1700
447,781385,3,5,1915,Rental Building,0.095,0.19,0.21,0.31,0.37,26.4798876,14000,Rent,3,2.5,3000
454,781598,16,5,1910,Multi-family,0.27,0.29,0.34,0.41,0.42,14.91313281,2200,Rent,1,1,500
458,782068,6,5,1915,Rental Building,0.23,0.27,0.32,0.36,0.43,16.27988896,15000,Rent,4,2,4000
471,782407,104,12,1906,Condo,0.27,0.3,0.31,0.47,0.5,14.39050306,9289,Rent,1,1,1385
472,782407,104,12,1906,Condo,0.27,0.3,0.31,0.47,0.5,14.39050306,9289,Rent,1,1,1385
478,782637,5,6,1920,Condo,0.095,0.13,0.22,0.3,0.32,29.22241136,11500,Rent,1,2,2454
479,782637,5,6,1920,Condo,0.095,0.13,0.22,0.3,0.32,29.22241136,11500,Rent,1,2,2454
483,782869,4,6,1920,Condo,0.21,0.32,0.33,0.38,0.39,16.1128893,7500,Rent,1,1,1300
484,782869,4,6,1920,Condo,0.21,0.32,0.33,0.38,0.39,16.1128893,7500,Rent,1,1,1300
487,782952,3,4,1915,Rental Building,0.095,0.15,0.23,0.24,0.32,28.83247521,8000,Rent,4,2,1750
493,783021,6,27,2005,Condo,0.095,0.18,0.24,0.28,0.31,27.04577303,6950,Rent,2,1.5,1500
494,783021,6,27,2005,Condo,0.095,0.18,0.24,0.28,0.31,27.04577303,6950,Rent,2,1.5,1500
495,783021,6,27,2005,Condo,0.095,0.18,0.24,0.28,0.31,27.04577303,6950,Rent,2,1.5,1500
498,783187,15,6,1900,Rental Building,0.2,0.2,0.24,0.26,0.35,20.86996337,4500,Rent,2,1,650
500,783236,20,6,1900,Rental Building,0.15,0.17,0.27,0.31,0.38,22.11010871,3400,Rent,2,1,650
503,783265,4,5,1920,Rental Building,0.095,0.17,0.33,0.37,0.38,24.77325341,8000,Rent,2,2.5,2000
504,783315,80,4,1929,Condo,0.13,0.19,0.33,0.35,0.39,21.40701404,3600,Rent,1,1,1013
508,783712,17,6,1900,Rental Building,0.3,0.39,0.47,0.51,0.52,11.90895671,2200,Rent,2,1,510
509,783714,16,6,1920,Rental Building,0.31,0.39,0.46,0.51,0.51,11.88539069,3500,Rent,3,1,700
510,783715,22,6,1920,Rental Building,0.31,0.39,0.46,0.5,0.51,11.92460637,3250,Rent,3,1,800
511,783888,25,6,1920,Rental Building,0.32,0.36,0.46,0.47,0.49,12.24516672,2295,Rent,2,1,750
518,784327,7,5,1910,Rental Building,0.12,0.3,0.42,0.51,0.6,17.67507003,3299,Rent,3,1,900
525,784567,1,3,1901,Condo,0.095,0.24,0.28,0.35,0.52,23.04463081,2550,Rent,1,1,600
526,784567,1,3,1901,Condo,0.095,0.24,0.28,0.35,0.52,23.04463081,2550,Rent,1,1,600
527,784630,41,10,1941,Condo,0.095,0.24,0.32,0.36,0.55,22.41394205,2900,Rent,2,1,600
528,784630,41,10,1941,Condo,0.095,0.24,0.32,0.36,0.55,22.41394205,2900,Rent,2,1,600
529,784642,8,5,1900,Rental Building,0.13,0.21,0.32,0.33,0.53,20.49630794,2700,Rent,1,1,650
533,784946,71,5,1906,Rental Building,0.22,0.44,0.44,0.54,0.56,12.72847523,4000,Rent,3,1.5,1200
534,784946,71,5,1906,Rental Building,0.22,0.44,0.44,0.54,0.56,12.72847523,4000,Rent,3,1.5,1200
535,784949,16,5,1920,Co-op,0.22,0.43,0.45,0.54,0.57,12.69949598,3700,Rent,1,1,501
539,785001,25,5,1920,Rental Building,0.15,0.35,0.43,0.48,0.49,15.97354058,1850,Rent,1,1,475
546,785091,20,5,1920,Rental Building,0.095,0.33,0.35,0.39,0.41,21.41688863,2600,Rent,1,1,600
553,785133,6,4,2003,Rental Building,0.14,0.36,0.42,0.47,0.48,16.51258021,3800,Rent,2,1,800
562,785361,50,6,1912,Rental Building,0.16,0.2,0.37,0.4,0.46,18.62661575,2700,Rent,1,1,700
581,785631,3,4,1910,Rental Building,0.52,0.57,0.63,0.73,0.76,7.950416963,2800,Rent,1,1,875
582,785633,5,4,2000,Rental Building,0.52,0.57,0.63,0.74,0.77,7.914817125,6750,Rent,3,1,1450
587,785685,12,5,1910,Rental Building,0.59,0.69,0.72,0.82,0.88,6.888955337,2800,Rent,2,1,575
588,785685,12,5,1910,Rental Building,0.59,0.69,0.72,0.82,0.88,6.888955337,2800,Rent,2,1,575
589,785689,18,5,1900,Rental Building,0.6,0.68,0.7,0.83,0.88,6.907009244,4000,Rent,2,1,800
590,785689,18,5,1900,Rental Building,0.6,0.68,0.7,0.83,0.88,6.907009244,4000,Rent,2,1,800
596,785720,36,7,2001,Rental Building,0.53,0.66,0.71,0.76,0.82,7.345696341,7000,Rent,4,2.5,875
601,785862,22,6,1920,Rental Building,0.43,0.5,0.52,0.67,0.7,9.16976706,3450,Rent,2,1,650
607,785938,5,4,1910,Rental Building,0.46,0.47,0.57,0.65,0.65,9.13288166,4200,Rent,2,1,700
608,785938,5,4,1910,Rental Building,0.46,0.47,0.57,0.65,0.65,9.13288166,4200,Rent,2,1,700
613,785972,12,5,1910,Co-op,0.43,0.54,0.64,0.65,0.68,8.748983021,2200,Rent,1,1,500
614,785972,12,5,1910,Co-op,0.43,0.54,0.64,0.65,0.68,8.748983021,2200,Rent,1,1,500
618,785987,13,6,2000,Rental Building,0.45,0.53,0.63,0.66,0.69,8.66074314,2350,Rent,1,1,550
636,786426,26,6,1900,Rental Building,0.32,0.4,0.57,0.61,0.63,10.60603181,3095,Rent,2,1,600
637,786426,26,6,1900,Rental Building,0.32,0.4,0.57,0.61,0.63,10.60603181,3095,Rent,2,1,600
640,786436,43,6,1950,Rental Building,0.27,0.38,0.56,0.57,0.6,11.54204957,6700,Rent,4,3,1300
647,786511,8,5,1900,Rental Building,0.34,0.47,0.49,0.57,0.62,10.47694156,4000,Rent,1,1,750
655,786539,4,6,1945,Rental Building,0.41,0.45,0.54,0.6,0.62,9.792668357,3500,Rent,1,1,700
658,786558,8,5,1920,Rental Building,0.35,0.42,0.52,0.52,0.57,10.83863505,2900,Rent,2,1,600
659,786558,8,5,1920,Rental Building,0.35,0.42,0.52,0.52,0.57,10.83863505,2900,Rent,2,1,600
660,786598,7,5,1900,Rental Building,0.31,0.53,0.55,0.59,0.69,10.07497134,3850,Rent,2,2,850
661,786598,7,5,1900,Rental Building,0.31,0.53,0.55,0.59,0.69,10.07497134,3850,Rent,2,2,850
668,786613,5,4,1900,Multi-family,0.25,0.45,0.52,0.52,0.61,11.70772033,5995,Rent,2,1,1100
669,786613,5,4,1900,Multi-family,0.25,0.45,0.52,0.52,0.61,11.70772033,5995,Rent,2,1,1100
684,786815,10,5,1900,Co-op,0.21,0.46,0.61,0.64,0.68,11.6082503,3350,Rent,1,1,850
685,786815,10,5,1900,Co-op,0.21,0.46,0.61,0.64,0.68,11.6082503,3350,Rent,1,1,850
692,786887,55,14,2018,Condo,0.095,0.24,0.26,0.27,0.32,25.36784001,7000,Rent,1,2,1179
695,786920,3,5,1920,Rental Building,0.095,0.22,0.3,0.31,0.38,24.26248907,3995,Rent,2,1,1100
